date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:02:10	117237/117237	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/ui-progressbars.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/ui-progressbars.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:10	113772/113772	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/ui-typography.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/ui-typography.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:11	144476/144476	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/ui-tabs.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/ui-tabs.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:11	106722/106722	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/ui-tooltips.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/ui-tooltips.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:11	100670/100670	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/ui-embed-video.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/ui-embed-video.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:11	134995/134995	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/form-layout.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/form-layout.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:12	169642/169642	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/form-input-group.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/form-input-group.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:12	123896/123896	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/form-validation.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/form-validation.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:12	124494/124494	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/form-switch.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/form-switch.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:12	121180/121180	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/form-chechbox.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/form-chechbox.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:13	113135/113135	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/form-radio.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/form-radio.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:13	100624/100624	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/form-textarea.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/form-textarea.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:13	101586/101586	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/form-datepicker.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/form-datepicker.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:13	114402/114402	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/form-select.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/form-select.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:14	100487/100487	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/form-file-uploader.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/form-file-uploader.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:14	100027/100027	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/form-quill.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/form-quill.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:14	148970/148970	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/tables-basic.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/tables-basic.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:14	147932/147932	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/table-data.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/table-data.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:14	108562/108562	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/table-editable.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/table-editable.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:15	98579/98579	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/chart-apex.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/chart-apex.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
18:02:15	120463/120463	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jul%202021%2013:50:33%20GMT	https://templates.iqonic.design/datum/html/backend/icon-heroicon.html	C:/My%20Web%20Sites/datum/templates.iqonic.design/datum/html/backend/icon-heroicon.html	(from https://templates.iqonic.design/datum/html/backend/product.html)
